city,temperature,humidity,pressure,weather
Muscat,41.72,19,1002,Clear
Muscat,41.72,19,1002,Clear
Muscat,41.72,19,1002,Clear
Tokyo,22.2,82,1004,Rain
Tokyo,22.2,82,1004,Rain
Tokyo,22.2,82,1004,Rain
Tokyo,21.95,83,1004,Rain
Tokyo,21.95,84,1004,Clouds
Tokyo,21.95,84,1004,Clouds
Tokyo,21.95,84,1004,Clouds
Tokyo,21.95,84,1004,Clouds
Tokyo,21.92,85,1004,Rain
Tokyo,21.92,85,1004,Rain
Tokyo,21.74,86,1004,Rain
London,13.79,73,1014,Clouds
London,13.76,73,1014,Clouds
London,13.9,72,1014,Clouds
London,13.9,72,1014,Clouds
London,13.9,72,1014,Clouds
London,13.9,72,1014,Clouds
Mombasa,27.5,72,1018,Rain
Mombasa,27.5,72,1018,Rain
Mombasa,27.5,72,1018,Rain
Mombasa,27.5,72,1018,Rain
Mombasa,27.5,72,1018,Rain
London,15.09,67,1014,Clouds
London,15.09,67,1014,Clouds
London,9.78,82,1015,Clouds
Karachi,30.94,73,1002,Clouds
Karachi,30.94,73,1002,Clouds
Karachi,30.94,73,1002,Clouds
Muscat,35.7,38,1003,Clear
Karachi,30.94,73,1002,Clouds
Karachi,30.94,73,1002,Clouds
Moscow,19.63,67,1014,Clouds
Moscow,19.63,67,1014,Clouds
Muscat,36.55,38,1003,Clear
London,9.96,83,1015,Clouds
Muscat,34,60,Sunny
Muscat,36.55,38,1003,Clear
Karachi,30.94,73,1002,Clouds
Muscat,36.55,38,1003,Clear
Muscat,36.55,38,1003,Clear
Muscat,36.55,38,1003,Clear
